L101,L102,L103,L104,L106,L107,L108,DAY,TIME
1.575,21.26,12.795,56.105,13.585,7.87,12.8,3,1
3.345,10.435,10.435,26.18,12.995,4.92,6.495,3,2
2.755,11.025,10.435,28.155,12.205,6.1,8.665,3,3
3.15,23.82,17.325,35.235,17.72,6.3,13.585,3,4
3.15,20.475,12.01,43.115,16.93,6.69,8.465,3,5
1.18,6.495,10.04,26.185,8.465,4.53,3.15,3,6
3.74,13.19,10.24,26.18,14.175,6.105,5.905,3,7
3.54,15.555,11.22,29.725,10.825,6.695,5.12,3,8
3.345,22.64,6.1,37.01,11.615,6.3,6.5,3,9
2.755,15.155,11.22,34.06,16.735,8.07,6.695,3,10
3.145,21.655,9.45,53.55,12.795,7.68,5.905,3,11
1.375,24.215,5.905,49.61,10.83,9.645,7.085,3,12
2.56,13.585,8.465,35.63,12.005,6.69,5.705,3,13
3.35,17.325,8.66,29.135,8.665,5.315,5.71,3,14
2.36,12.205,8.07,22.835,9.845,7.87,4.725,3,15
2.56,12.795,7.87,31.105,14.965,5.905,7.48,3,16
2.165,7.875,7.285,19.69,11.42,5.115,6.495,3,17
1.965,11.81,8.465,27.165,12.995,7.675,7.285,3,18
2.36,12.01,5.515,34.455,11.02,7.48,4.725,3,19
1.77,12.795,10.63,37.795,8.465,5.71,5.905,3,20
1.965,11.615,8.465,19.49,13.585,7.675,4.92,3,21
1.575,9.45,5.905,31.105,10.63,6.5,5.51,3,22
1.77,9.84,8.07,26.185,14.375,4.53,5.115,3,23
2.36,7.285,7.285,22.44,10.235,6.5,5.515,3,24
2.365,9.25,5.705,16.34,8.075,3.94,4.13,3,25
2.365,9.255,6.495,27.955,10.83,4.725,4.33,3,26
1.57,8.86,6.695,17.13,9.25,5.905,3.74,3,27
1.575,5.515,4.725,18.11,11.81,4.525,5.315,3,28
2.165,11.81,7.285,19.49,9.45,3.935,4.135,3,29
2.365,8.265,6.89,31.495,9.255,6.495,5.71,3,30
1.18,4.33,5.905,20.08,11.81,4.725,5.51,3,31
2.36,5.71,7.285,15.55,12.205,3.94,3.94,3,32
2.36,3.74,6.3,16.93,9.645,5.315,5.12,3,33
1.965,3.74,6.105,9.45,10.825,3.35,2.95,3,34
1.575,7.875,4.725,25.2,13.19,4.33,3.74,3,35
0.985,5.315,4.725,13.19,6.695,4.135,3.15,3,36
1.38,3.935,4.725,13.39,8.07,2.76,3.35,3,37
1.18,5.12,3.15,13.98,9.845,3.74,2.165,3,38
0.98,5.515,3.345,12.995,9.06,2.955,4.525,3,39
1.77,5.12,4.92,13.19,11.225,3.54,2.56,3,40
1.18,3.94,3.54,12.01,7.085,2.755,2.365,3,41
1.38,4.525,2.56,13.39,4.925,3.545,2.95,3,42
1.18,3.345,5.515,11.025,7.285,2.36,4.135,3,43
1.965,3.545,3.54,12.995,6.105,3.15,2.955,3,44
0.59,3.935,3.94,12.4,8.265,2.955,2.955,3,45
0.59,3.74,3.74,10.825,6.3,2.56,2.365,3,46
1.97,2.165,2.95,6.1,6.695,1.965,2.56,3,47
1.18,4.525,4.725,12.6,8.07,1.775,2.36,3,48
0.985,3.74,2.555,8.86,3.74,2.755,1.38,3,49
1.18,4.53,3.74,12.6,5.12,2.165,2.955,3,50
0.395,3.15,4.135,9.055,5.71,2.56,2.56,3,51
2.165,4.135,3.35,15.16,6.295,3.345,1.97,3,52
0.59,3.94,3.15,14.175,4.525,3.545,2.56,3,53
0.785,2.95,3.345,8.07,4.725,2.165,2.95,3,54
1.375,4.135,3.345,11.025,5.12,2.36,1.77,3,55
1.375,2.755,2.165,8.265,4.925,2.95,2.56,3,56
0.39,3.74,3.74,10.63,6.495,2.365,3.345,3,57
0.985,2.56,3.15,8.27,6.89,1.965,1.97,3,58
0.39,2.56,2.955,9.255,4.725,0.985,0.985,3,59
0.785,2.56,2.555,7.68,4.13,1.575,2.56,3,60
0.59,2.56,2.165,7.48,5.315,1.965,1.77,3,61
0.59,2.36,2.165,8.665,4.33,0.98,1.97,3,62
1.965,2.955,3.15,10.83,4.33,2.755,1.77,3,63
0.79,3.15,3.15,11.42,5.515,2.56,1.575,3,64
0.785,2.56,1.965,8.86,3.935,2.755,1.77,3,65
0.195,3.15,2.365,9.06,4.33,1.38,1.575,3,66
0.195,2.36,1.775,7.085,3.74,2.56,0.785,3,67
0.59,1.97,2.365,7.085,3.74,0.985,1.375,3,68
0.785,2.365,2.36,5.315,2.95,1.18,0.395,3,69
0.79,2.56,1.57,7.875,4.72,1.18,1.965,3,70
0.39,2.36,1.18,6.89,3.74,1.18,1.77,3,71
0.59,1.57,1.965,6.3,3.545,0.79,1.77,3,72
0.59,2.36,2.36,8.66,4.92,2.755,1.18,3,73
0.39,3.145,1.97,11.025,4.725,1.57,1.57,3,74
1.18,2.755,1.97,8.665,3.35,2.755,1.18,3,75
0.59,2.955,2.165,7.48,3.74,1.18,0.985,3,76
0.59,2.365,2.165,10.83,3.935,2.56,1.965,3,77
0.39,2.56,2.95,8.665,5.705,2.165,1.97,3,78
0.195,1.965,2.955,7.875,3.935,1.375,0.985,3,79
0.195,1.775,3.15,8.465,5.315,1.57,1.965,3,80
0.985,2.76,3.35,9.055,4.92,1.57,6.105,3,81
0.79,2.755,3.345,12.6,4.72,2.165,1.965,3,82
0.59,1.77,2.36,7.285,4.925,1.575,1.575,3,83
1.18,2.165,3.935,7.09,7.085,1.77,1.77,3,84
0.59,3.74,3.74,13.78,4.53,1.97,1.18,3,85
0.39,2.365,2.56,8.465,2.76,2.365,1.77,3,86
0.39,2.755,2.365,8.665,5.905,1.97,1.38,3,87
0.39,2.165,1.965,5.71,11.42,1.77,1.77,3,88
0.98,2.36,2.955,9.25,8.86,1.38,2.165,3,89
0.59,3.74,2.56,9.255,4.72,2.36,1.375,3,90
0.39,1.965,2.56,5.315,3.345,1.375,1.97,3,91
0.59,3.345,2.955,7.48,6.1,2.165,2.36,3,92
1.18,3.15,3.345,8.465,5.71,1.965,1.77,3,93
0.59,2.755,1.965,8.855,10.825,2.165,1.575,3,94
0.195,1.965,2.36,9.255,36.025,2.365,1.965,3,95
0.59,3.54,3.15,9.84,48.43,0.985,1.575,3,96
0.79,3.15,1.57,10.24,6.1,3.94,1.18,3,97
0.395,2.95,0.985,13.98,1.965,2.755,0.985,3,98
0.195,2.955,3.15,10.83,4.92,2.56,2.36,3,99
0.195,3.54,2.56,12.795,6.69,1.97,1.375,3,100
0.395,4.725,2.36,13.19,7.675,3.545,1.57,3,101
