"Enjoyment","Food","Condiment"
81.9269574232529,"Hot Dog","Mustard"
84.9397743293292,"Hot Dog","Mustard"
90.28647932801438,"Hot Dog","Mustard"
89.56180151665502,"Hot Dog","Mustard"
97.67682591880066,"Hot Dog","Mustard"
83.61712996934618,"Hot Dog","Mustard"
89.21086046510206,"Hot Dog","Mustard"
90.7668667221883,"Hot Dog","Mustard"
102.62044030772365,"Hot Dog","Mustard"
85.74390036422551,"Hot Dog","Mustard"
96.5923588947792,"Hot Dog","Mustard"
91.99449143926803,"Hot Dog","Mustard"
87.3332551483422,"Hot Dog","Mustard"
86.87685892829761,"Hot Dog","Mustard"
87.51938536071019,"Hot Dog","Mustard"
93.49125482138082,"Hot Dog","Mustard"
94.30378893191127,"Hot Dog","Mustard"
95.86999176797764,"Hot Dog","Mustard"
81.24348763821509,"Hot Dog","Mustard"
80.53783465646922,"Hot Dog","Mustard"
95.80414984350263,"Ice Cream","Chocolate Sauce"
97.37003788222535,"Ice Cream","Chocolate Sauce"
95.16145796323237,"Ice Cream","Chocolate Sauce"
95.22787171621363,"Ice Cream","Chocolate Sauce"
90.53919997483459,"Ice Cream","Chocolate Sauce"
86.56899001921514,"Ice Cream","Chocolate Sauce"
91.58236812552626,"Ice Cream","Chocolate Sauce"
87.09460430069868,"Ice Cream","Chocolate Sauce"
88.47735872070184,"Ice Cream","Chocolate Sauce"
95.05463176623596,"Ice Cream","Chocolate Sauce"
99.8852461251456,"Ice Cream","Chocolate Sauce"
91.64217850435219,"Ice Cream","Chocolate Sauce"
91.38907455975352,"Ice Cream","Chocolate Sauce"
92.3951591943064,"Ice Cream","Chocolate Sauce"
100.14070761569471,"Ice Cream","Chocolate Sauce"
88.60519538090638,"Ice Cream","Chocolate Sauce"
89.3423436853117,"Ice Cream","Chocolate Sauce"
101.56147031296231,"Ice Cream","Chocolate Sauce"
89.59726532643337,"Ice Cream","Chocolate Sauce"
93.52260953458543,"Ice Cream","Chocolate Sauce"
73.62779803615068,"Hot Dog","Chocolate Sauce"
64.42184736581868,"Hot Dog","Chocolate Sauce"
62.449930289864064,"Hot Dog","Chocolate Sauce"
63.13013645133452,"Hot Dog","Chocolate Sauce"
56.842015439149215,"Hot Dog","Chocolate Sauce"
66.75431395757546,"Hot Dog","Chocolate Sauce"
60.41547497361598,"Hot Dog","Chocolate Sauce"
72.86914891251887,"Hot Dog","Chocolate Sauce"
60.29670988802957,"Hot Dog","Chocolate Sauce"
75.46094198950644,"Hot Dog","Chocolate Sauce"
71.0333739357633,"Hot Dog","Chocolate Sauce"
71.03782230141295,"Hot Dog","Chocolate Sauce"
64.89752496739588,"Hot Dog","Chocolate Sauce"
68.25559219584194,"Hot Dog","Chocolate Sauce"
62.64744303937243,"Hot Dog","Chocolate Sauce"
64.60029025089735,"Hot Dog","Chocolate Sauce"
67.24534460545638,"Hot Dog","Chocolate Sauce"
58.78611407783829,"Hot Dog","Chocolate Sauce"
63.00644371790969,"Hot Dog","Chocolate Sauce"
58.55397161494696,"Hot Dog","Chocolate Sauce"
59.36697572110984,"Ice Cream","Mustard"
68.06440247590525,"Ice Cream","Mustard"
58.88285361215402,"Ice Cream","Mustard"
58.777045301953315,"Ice Cream","Mustard"
56.50635408790666,"Ice Cream","Mustard"
61.84046709009664,"Ice Cream","Mustard"
67.02091361116175,"Ice Cream","Mustard"
60.2203778719427,"Ice Cream","Mustard"
66.45706928200525,"Ice Cream","Mustard"
58.367972682292375,"Ice Cream","Mustard"
52.30929700549945,"Ice Cream","Mustard"
61.349331501386914,"Ice Cream","Mustard"
63.17835067918898,"Ice Cream","Mustard"
56.588183477040744,"Ice Cream","Mustard"
61.4741503466245,"Ice Cream","Mustard"
61.92013433366141,"Ice Cream","Mustard"
61.055941620113366,"Ice Cream","Mustard"
61.97671251465585,"Ice Cream","Mustard"
61.544813080331764,"Ice Cream","Mustard"
69.2769206470893,"Ice Cream","Mustard"
