Name,Adm.,Pop2020,Pop2022,Area,Change,Density
Abilene,TX,125178,127385,27627,1.7630893607502913,4.610887899518587
Akron,OH,190416,188509,16041,-1.0014914713049323,11.751698771897013
Albany,NY,99233,100826,5544,1.6053127487831669,18.186507936507937
Albuquerque,NM,564581,561008,48503,-0.6328587040654928,11.5664598066099
Alexandria,VA,159461,155525,3868,-2.468315136616477,40.208117890382624
Allen,TX,104645,111551,6838,6.599455301256629,16.31339572974554
Allentown,PA,125858,125094,4549,-0.607033323269081,27.4992306001319
Amarillo,TX,200377,201291,26708,0.45614017576867605,7.536730567620189
Anaheim,CA,346825,344461,13023,-0.6816117638578534,26.450203486139905
Anchorage,AK,291244,287145,442081,-1.4074109681229483,0.6495302896980417
Ann Arbor,MI,123872,119875,7310,-3.226717902350814,16.39876880984952
Antioch,CA,115305,115264,7555,-0.035557868262434414,15.256651224354732
Arlington,TX,394257,394602,24823,0.0875063727467109,15.896628127140152
Arlington,VA,238643,245600,6733,2.915233214466798,36.47705331947126
Arvada,CO,124402,121581,10095,-2.2676484300895483,12.04368499257058
Athens (- Clarke County),GA,127362,128561,30157,0.9414110959312825,4.263056670093179
Atlanta,GA,498722,499127,35038,0.08120756654007644,14.245305097322907
Augusta (- Richmond County),GA,202080,202096,78291,0.007917656373713382,2.581343960353042
Aurora,IL,180526,177866,11665,-1.473471965257082,15.247835405057865
Aurora,CO,386324,393537,42088,1.8670856586699247,9.350337388329216
Austin,TX,961900,974447,83025,1.3043975465225075,11.73679012345679
Bakersfield,CA,404440,410647,38920,1.534714667194145,10.551053442959917
Baltimore,MD,585693,569931,20965,-2.6911709718231225,27.184879561173386
Baton Rouge,LA,226916,221453,22518,-2.4074988101323838,9.834487965183408
Beaumont,TX,115268,112089,21313,-2.7579206718256586,5.25918453526017
Bellevue,WA,151864,152767,8668,0.5946109677079492,17.624250115366866
Bend,OR,99213,103254,8973,4.073054942396662,11.507188231360749
Berkeley,CA,124324,118950,2702,-4.3225764936778095,44.022945965951145
Billings,MT,117142,119960,11729,2.405627358248963,10.227640890101458
Birmingham,AL,200646,196910,38073,-1.8619857859115057,5.171906600478029
Boise City,ID,235712,236634,21839,0.39115530817268535,10.8353862356335
Boston,MA,675632,650706,12520,-3.689286475477775,51.97332268370607
Boulder,CO,108246,105485,6945,-2.5506716183507936,15.1886249100072
Brandon,FL,114626,117100,8583,2.15832359150629,13.64324828148666
Bridgeport,CT,148644,148377,4161,-0.17962379914426416,35.6589762076424
Brockton,MA,105654,104826,5525,-0.783690158441706,18.973031674208144
Broken Arrow,OK,113556,117911,16307,3.835112191341717,7.230698473048384
Brownsville,TX,186717,189382,34098,1.4272937118741198,5.554050090914423
Buckeye,AZ,91535,105567,101833,15.329655323100452,1.0366678777999274
