State,City,Population,Total,Murder,Rape,Robbery,Assault
Alabama,Mobile,248431,6217.02,20.13,58.16,177.11,485.85
Alaska,Anchorage,296188,6640.04,9.12,132.01,262.67,799.49
Arizona,Chandler,249355,2589.08,2.01,52.13,56.95,148.68
Arizona,Gilbert,242090,1483.75,2.07,16.11,21.07,46.26
Arizona,Glendale,249273,5037.85,4.81,38.91,192.96,251.53
Arizona,Mesa,492268,2592.49,4.67,51.19,92.23,267.74
Arizona,Phoenix,1608139,4443.2,9.55,69.46,200.28,481.64
Arizona,Scottsdale,251840,2338.38,1.99,40.9,39.71,74.65
Arizona,Tucson,532323,6082.78,8.64,93.55,268.82,430.75
California,Anaheim,353400,2997.74,2.83,32.54,135.82,183.36
California,Bakersfield,381154,4618.34,10.76,24.14,197.56,246.88
California,Chula Vista,271109,1738.79,0.74,22.87,112.13,162.3
California,Fremont,236368,2343.8,0.85,28.77,79.11,73.61
California,Fresno,526371,4447.63,10.64,33.06,182,339.3
California,Irvine,276115,1381.31,0.72,16.66,19.92,23.9
California,Long Beach,471397,3357.25,4.67,43.06,262.41,347.69
California,Los Angeles,3898747,3332.52,7.01,61.27,269.87,423.17
California,Oakland,424915,7328.29,16.24,94.14,629.77,559.17
California,Riverside,328023,3589.38,3.66,50.61,165.84,288.7
California,Sacramento,499997,3654.02,7.8,19.8,220,428
California,San Bernardino,217259,5189.66,15.65,72.72,403.67,799.05
California,San Diego,1386932,2220.67,2.46,39.25,99.01,225.89
California,San Francisco,881255,6917.4,6.35,41.65,365.39,301.62
California,San Jose,1013240,2861.02,3.08,55.03,132.62,212.91
California,Santa Ana,335699,2596.67,6.26,56,180.22,246.05
California,Santa Clarita,216350,1592.79,1.85,18.49,56.39,85.97
California,Stockton,309566,5109.09,17.77,49.75,390.22,956.82
Colorado,Aurora,368018,3630.53,8.15,86.68,184.5,329.06
Colorado,Colorado Springs,472958,3765.25,6.13,103.39,101.91,312.71
Colorado,Denver,706616,4360.93,8.35,98.92,174.35,393.99
District of Columbia,Washington D.C.,693972,5104.96,16.72,63.84,338.77,529.42
Florida,Hialeah,238260,2422.14,2.52,13.85,64.64,117.52
Florida,Jacksonville,894638,4168.73,12.18,60.14,153.81,405.19
Florida,Miami,463009,4750.89,11.23,22.68,211.23,475.8
Florida,Orlando,283982,6206.38,8.1,64.44,213.04,458.48
Florida,St. Petersburg,263712,5029.35,7.58,51.57,189.22,450.11
Florida,Tampa,384360,2218.24,10.15,31.48,105.63,317.15
Georgia,Atlanta,481343,5727.52,16.41,58.59,293.55,567.16
Georgia,Savannah,242941,3901.36,14.41,41.16,156.83,250.27
Hawaii,Honolulu,344986,3053.77,3.23,28.78,91.68,122.68
Idaho,Boise,225677,2741.97,0.89,63.81,22.6,191.87
Illinois,Chicago,2746388,4381.65,18.26,65.11,439.26,570.36
Indiana,Fort Wayne,266259,3572.46,13.9,51.08,112.3,180.28
Indiana,Indianapolis,870788,5775.23,17.91,76.71,400.21,839.13
Iowa,Des Moines,217277,5102.7,12.89,33.6,167.53,456.1
Kansas,Wichita,391084,6583.5,8.95,97.68,153.16,762.5
Kentucky,Lexington,322332,4145.73,9,62.05,169.7,110.13
Kentucky,Louisville,684362,4769.99,15.93,25.57,193.76,411.77
Louisiana,Baton Rouge,227403,6693.84,38.26,43.97,381.7,562.88
Louisiana,New Orleans,397447,5375.57,39.5,144.67,329.1,608.13
Maryland,Baltimore,613217,6997.68,55.77,62.29,958.71,950.23
Massachusetts,Boston,682903,2758.22,8.35,42.47,205.59,412.8
Michigan,Detroit,670792,6726.82,39.8,103.91,393.42,NA
Minnesota,Minneapolis,418971,5768.18,10.02,122.68,434.16,534.4
Minnesota,St. Paul,306696,4262.86,7.17,70.75,227.26,345.62
Missouri,Kansas City,484948,6309.55,30.93,91.76,383.13,NA
Missouri,St. Louis,310284,8188.31,66.07,93.14,626.52,NA
Nebraska,Omaha,449388,4527.49,6.9,91.24,139.08,410.11
Nevada,Henderson,299285,2025.17,3.34,28.74,80.19,72.84
Nevada,Las Vegas,627244,3567.87,12.6,79.64,211.15,315.5
Nevada,Paradise,242537,3405.26,9.07,47.83,232.95,724.84
Nevada,Reno,248531,3766.53,7.64,57.14,153.7,455.07
New Jersey,Jersey City,267906,2330.67,7.84,45.91,199.32,256.43
New Jersey,Newark,283673,3316.84,27.14,40.89,377.19,451.22
New Mexico,Albuquerque,561375,8734.98,12.47,84.26,521.93,750.48
New York,Buffalo,256169,4930.34,15.61,55.43,334.54,613.66
New York,New York,8804190,1987.49,3.39,27.56,162.42,345.52
North Carolina,Charlotte,914609,3836.39,9.4,NA,220.53,433.52
North Carolina,Raleigh,269088,3837.78,8.55,NA,316.63,467.13
North Carolina,Greensboro,290051,3601.78,15.86,NA,228.93,480.61
Ohio,Cincinnati,309317,5997,23.4,97.62,399.84,426.26
Ohio,Cleveland,372624,6538.45,27.77,128.97,699.88,700.14
Ohio,Columbus,905748,4501.8,16.28,105.37,225.06,166.7
Ohio,Toledo,270871,4003.74,12.63,87,281.47,661.82
Oklahoma,Oklahoma City,648260,4552.5,12.49,73.12,172.77,528.95
Oklahoma,Tulsa,404868,6532.01,17.29,104.48,238.1,680.96
Oregon,Portland,610343,6239.99,3.7,67.45,160.92,283.64
Pennsylvania,Philadelphia,1603797,4037.27,20.06,75.02,382.46,470.04
Pennsylvania,Pittsburgh,305932,3815.23,17.98,29.42,262.15,346.81
Tennessee,Memphis,652765,8357.07,27.73,90.38,529.59,NA
Tennessee,Nashville,674942,4966.5,16.3,72.9,303.14,745.84
Texas,Arlington,397377,3721.91,4.78,63.92,144.95,303.24
Texas,Austin,971949,3612.23,2.57,85.81,101.55,224.91
Texas,Corpus Christi,329256,4285.11,6.38,70.46,142.75,482.91
Texas,Dallas,1304379,3985.95,12.48,62.08,327,373.09
Texas,El Paso,688667,2203.25,2.76,53.87,58.08,264.13
Texas,Fort Worth,873069,3792.83,8.02,65.17,147.3,339.72
Texas,Allen,236243,3355.44,3.39,54.6,135.03,123.6
Texas,Houston,2304580,5252.08,11.5,58.42,417.96,607.34
Texas,Frisco,242062,2775.73,3.3,22.31,94.19,107
Texas,Laredo,260669,2832.71,3.84,43.73,59.08,215.22
Texas,Denton,290413,1892.14,5.17,27.89,40.98,75.75
Texas,San Antonio,1434625,5565.95,8.15,83.51,151.11,464.72
Virginia,Chesapeake,240119,2699.5,4.58,36.23,82.46,295.69
Virginia,Norfolk,245190,4308.09,14.68,55.06,151.31,334.84
Virginia,Virginia Beach,454353,2083.4,3.08,22.45,59.87,52.16
Washington,Seattle,721365,5911.99,3.74,36.87,210.02,382.05
Washington,Spokane,217066,7881.01,2.76,109.64,105.5,408.63
