JULIAN_DAY,YEAR,L,W,A,TIME,MONTH,DAY
1,2003,103,14.2,21.2,1,1,1
2,2003,103,14.4,16.8,2,1,2
3,2003,103,14.4,15.4,3,1,3
4,2003,103,10.9,10.8,4,1,4
5,2003,103,10.8,11.7,5,1,5
6,2003,103,10.7,12.4,6,1,6
7,2003,103,10.3,13.2,7,1,7
8,2003,103,10.1,11.8,8,1,8
9,2003,103,9.8,5.1,9,1,9
10,2003,103,10.5,3.5,10,1,10
11,2003,103,10.5,5.3,11,1,11
12,2003,103,9.9,6.2,12,1,12
13,2003,103,9.7,8.6,13,1,13
14,2003,103,8.1,10.8,14,1,14
15,2003,103,8.2,13.1,15,1,15
16,2003,103,18.4,14.7,16,1,16
17,2003,103,19,12.1,17,1,17
18,2003,103,19.8,12,18,1,18
19,2003,103,16.5,12.4,19,1,19
20,2003,103,9.3,16.2,20,1,20
21,2003,103,9.3,13,21,1,21
22,2003,103,9.4,9.8,22,1,22
23,2003,103,9.6,14.1,23,1,23
24,2003,103,9.7,14.5,24,1,24
25,2003,103,9.8,14,25,1,25
26,2003,103,10.4,15.6,26,1,26
27,2003,103,10.1,17.2,27,1,27
28,2003,103,9.9,12,28,1,28
29,2003,103,9.5,10.6,29,1,29
30,2003,103,9.5,9,30,1,30
31,2003,103,11.7,8.6,31,1,31
32,2003,103,11.9,11.8,32,2,1
33,2003,103,12.4,15,33,2,2
34,2003,103,12.9,15.6,34,2,3
35,2003,103,12.9,10.9,35,2,4
36,2003,103,13.2,12.2,36,2,5
37,2003,103,13.2,13,37,2,6
38,2003,103,11.2,16.2,38,2,7
39,2003,103,11.2,16.3,39,2,8
40,2003,103,10.8,11.7,40,2,9
41,2003,103,11.5,15.1,41,2,10
42,2003,103,11.6,11,42,2,11
43,2003,103,12.6,11.8,43,2,12
44,2003,103,12.4,13.2,44,2,13
45,2003,103,12.3,11.1,45,2,14
46,2003,103,12.5,8.5,46,2,15
47,2003,103,12.5,11.4,47,2,16
48,2003,103,11.7,10.2,48,2,17
49,2003,103,10,5.8,49,2,18
50,2003,103,10.7,14,50,2,19
51,2003,103,12,15,51,2,20
52,2003,103,12.1,17.6,52,2,21
53,2003,103,13.2,19.4,53,2,22
54,2003,103,13.2,17.1,54,2,23
55,2003,103,12.7,18.9,55,2,24
56,2003,103,11.8,18.6,56,2,25
57,2003,103,12.1,16.4,57,2,26
58,2003,103,11.5,17.1,58,2,27
59,2003,103,11.9,19,59,2,28
60,2003,103,12.9,21,60,3,1
61,2003,103,11.3,18.6,61,3,2
62,2003,103,12.5,21.8,62,3,3
63,2003,103,12.3,18.5,63,3,4
64,2003,103,11.3,13.6,64,3,5
65,2003,103,12.4,16.1,65,3,6
66,2003,103,13,17.4,66,3,7
67,2003,103,14,19.3,67,3,8
68,2003,103,14.6,22.9,68,3,9
69,2003,103,13.8,23.6,69,3,10
70,2003,103,12.5,20.6,70,3,11
71,2003,103,13,21,71,3,12
72,2003,103,13.5,18,72,3,13
73,2003,103,12.2,18.5,73,3,14
74,2003,103,12,14.6,74,3,15
75,2003,103,13.1,20.8,75,3,16
76,2003,103,12.8,20.9,76,3,17
77,2003,103,12.7,18.4,77,3,18
78,2003,103,12.5,18.6,78,3,19
79,2003,103,13.3,19.5,79,3,20
80,2003,103,14.4,18.2,80,3,21
81,2003,103,14.1,14,81,3,22
82,2003,103,15.3,17.1,82,3,23
83,2003,103,17.7,22.7,83,3,24
84,2003,103,17.3,16.8,84,3,25
85,2003,103,16.3,17.9,85,3,26
86,2003,103,15.1,19.3,86,3,27
87,2003,103,13.3,18.7,87,3,28
88,2003,103,14.1,17.7,88,3,29
89,2003,103,13.4,17.1,89,3,30
90,2003,103,15,19.4,90,3,31
91,2003,103,16.1,18.1,91,4,1
92,2003,103,15.7,12,92,4,2
93,2003,103,14.2,14.2,93,4,3
94,2003,103,15.6,15.1,94,4,4
95,2003,103,16.3,18,95,4,5
96,2003,103,16.1,21.3,96,4,6
97,2003,103,17.4,19.1,97,4,7
98,2003,103,NA,NA,98,4,8
99,2003,103,16.1,12.5,99,4,9
100,2003,103,14.5,15.3,100,4,10
101,2003,103,14.8,16.3,101,4,11
102,2003,103,14.3,19.8,102,4,12
103,2003,103,14.7,25,103,4,13
104,2003,103,14.8,23.2,104,4,14
105,2003,103,NA,NA,105,4,15
106,2003,103,16,24.8,106,4,16
107,2003,103,15,23,107,4,17
108,2003,103,14.8,18,108,4,18
109,2003,103,14,15.6,109,4,19
110,2003,103,13.3,16.8,110,4,20
111,2003,103,14.8,16.7,111,4,21
112,2003,103,14.8,23.6,112,4,22
113,2003,103,14.2,20,113,4,23
114,2003,103,14.1,20.6,114,4,24
115,2003,103,14.1,17.6,115,4,25
116,2003,103,16.2,22,116,4,26
117,2003,103,15.5,23.4,117,4,27
118,2003,103,15.9,26.7,118,4,28
119,2003,103,15.1,22.7,119,4,29
120,2003,103,16,20.7,120,4,30
121,2003,103,16.5,22.5,121,5,1
122,2003,103,16.8,18.9,122,5,2
123,2003,103,18.3,24.3,123,5,3
124,2003,103,17.7,23,124,5,4
125,2003,103,17.5,14,125,5,5
126,2003,103,16.1,15,126,5,6
127,2003,103,15.7,12.2,127,5,7
128,2003,103,16.6,17.6,128,5,8
129,2003,103,16,14.7,129,5,9
130,2003,103,17.8,20.1,130,5,10
131,2003,103,18.5,19.4,131,5,11
132,2003,103,18.4,22.9,132,5,12
133,2003,103,17.8,16.6,133,5,13
134,2003,103,18.3,19.7,134,5,14
135,2003,103,NA,NA,135,5,15
136,2003,103,15.9,18.8,136,5,16
137,2003,103,15.2,23.4,137,5,17
138,2003,103,18.1,28.1,138,5,18
139,2003,103,17.8,19.7,139,5,19
140,2003,103,17.6,19.1,140,5,20
141,2003,103,19.6,25.4,141,5,21
142,2003,103,20,30.9,142,5,22
143,2003,103,19.1,22.7,143,5,23
144,2003,103,18.5,17.3,144,5,24
145,2003,103,17.4,17,145,5,25
146,2003,103,18.5,19.7,146,5,26
147,2003,103,18.7,25.6,147,5,27
148,2003,103,20.3,28.7,148,5,28
149,2003,103,20.5,27.3,149,5,29
150,2003,103,19.6,21.6,150,5,30
151,2003,103,17.3,18.4,151,5,31
152,2003,103,17.3,22.3,152,6,1
153,2003,103,18.2,21.5,153,6,2
154,2003,103,18.4,21.7,154,6,3
155,2003,103,17.6,15,155,6,4
156,2003,103,19.5,23.2,156,6,5
157,2003,103,19.6,23.5,157,6,6
158,2003,103,19.8,24.2,158,6,7
159,2003,103,19.6,20.1,159,6,8
160,2003,103,20,24,160,6,9
161,2003,103,19.8,25,161,6,10
162,2003,103,20.7,24.9,162,6,11
163,2003,103,20.2,20.2,163,6,12
164,2003,103,20.6,24.6,164,6,13
165,2003,103,20.5,24,165,6,14
166,2003,103,21.5,25.1,166,6,15
167,2003,103,20.6,20.4,167,6,16
168,2003,103,19.4,20.5,168,6,17
169,2003,103,NA,NA,169,6,18
170,2003,103,22.9,30.1,170,6,19
171,2003,103,23,32.2,171,6,20
172,2003,103,24.1,34,172,6,21
173,2003,103,22.9,25.2,173,6,22
174,2003,103,21.3,19,174,6,23
175,2003,103,19.9,25.1,175,6,24
176,2003,103,19.6,19.7,176,6,25
