State,City,Population,Total,Murder,Rape,Robbery,Assault
Alabama,Mobile,248431,740.25,20.13,57.16,177.11,485.85
Alaska,Anchorage,296188,1203.29,9.12,132.01,262.67,799.49
Arizona,Chandler,249355,259.47,2.01,52.13,56.95,148.38
Arizona,Gilbert,242090,85.51,2.07,16.11,21.07,46.26
Arizona,Glendale,249273,488.22,4.81,38.91,192.96,251.53
Arizona,Mesa,492268,415.83,4.67,51.19,92.23,267.74
Arizona,Phoenix,1644177,760.93,9.55,69.46,200.28,481.64
Arizona,Scottsdale,251840,157.24,1.99,40.9,39.71,74.65
Arizona,Tucson,532323,801.77,8.64,93.55,268.82,430.75
California,Anaheim,353400,354.56,2.83,32.54,135.82,183.36
California,Bakersfield,381154,479.33,10.76,24.14,197.56,246.88
California,Chula Vista,271109,298.04,0.74,22.87,112.13,162.3
California,Fremont,236368,182.34,0.85,28.77,79.11,73.61
California,Fresno,526371,565,10.64,33.06,182,339.3
California,Irvine,276115,61.21,0.72,16.66,19.92,23.9
California,Long Beach,471397,657.83,4.67,43.06,262.41,347.69
California,Los Angeles,4007147,761.31,7.01,61.27,269.87,423.17
California,Oakland,424915,1299.32,16.24,94.14,629.77,559.17
California,Riverside,328023,508.81,3.66,50.61,165.84,288.7
California,Sacramento,499997,675.6,7.8,19.8,220,428
California,San Bernardino,217259,1291.09,15.65,72.72,403.67,799.05
California,San Diego,1424116,366.61,2.46,39.25,99.01,225.89
California,San Francisco,881255,715,6.35,41.65,365.39,301.62
California,San Jose,1037529,403.65,3.08,55.03,132.62,212.91
California,Santa Ana,335699,488.53,6.26,56,180.22,246.05
California,Santa Clarita,216350,162.7,1.85,18.49,56.39,85.97
California,Stockton,309566,1414.56,17.77,49.75,390.22,956.82
Colorado,Aurora,368018,608.39,8.15,86.68,184.5,329.06
Colorado,Colorado Springs,472958,524.15,6.13,103.39,101.91,312.71
Colorado,Denver,706616,675.61,8.35,98.92,174.35,393.99
District of Columbia,Washington,693972,948.74,16.72,63.84,338.77,529.42
Florida,Hialeah,238260,198.52,2.52,13.85,64.64,117.52
Florida,Jacksonville,894638,631.32,12.18,60.14,153.81,405.19
Florida,Miami,463009,720.94,11.23,22.68,211.23,475.8
Florida,Orlando,283982,744.06,8.1,64.44,213.04,458.48
Florida,St. Petersburg,263712,698.49,7.58,51.57,189.22,450.11
Florida,Tampa,384360,464.41,10.15,31.48,105.63,317.15
Georgia,Atlanta,481343,935.72,16.41,58.59,293.55,567.16
Georgia,Savannah,242941,462.66,14.41,41.16,156.83,250.27
Hawaii,Honolulu,990384,246.37,3.23,28.78,91.68,122.68
Idaho,Boise,225677,279.16,0.89,63.81,22.6,191.87
Illinois,Chicago,2706171,1098.86,24.13,65.11,439.26,570.36
Indiana,Fort Wayne,266259,357.55,13.9,51.08,112.3,180.28
Indiana,Indianapolis,870788,1333.96,17.91,76.71,400.21,839.13
Iowa,Des Moines,217277,670.11,12.89,33.6,167.53,456.1
Kansas,Wichita,391084,1022.29,8.95,97.68,153.16,762.5
Kentucky,Lexington,322332,350.88,9,62.05,169.7,110.13
Kentucky,Louisville Metro,684362,647.03,15.93,25.57,193.76,411.77
Louisiana,Baton Rouge,227403,1026.81,38.26,43.97,381.7,562.88
Louisiana,New Orleans,397447,1121.41,39.5,144.67,329.1,608.13
Maryland,Baltimore,613217,2027.01,55.77,62.29,958.71,950.23
Massachusetts,Boston,682903,669.2,8.35,42.47,205.59,412.8
