city,state,lat,lon
Aaronsburg,PA,40.908997,-77.42424
Abbeville,AL,31.599256,-85.2094
Abbeville,GA,31.972626,-83.33082
Abbeville,LA,29.988003499999998,-92.1626875
Abbeville,MS,34.489297,-89.47412
Abbeville,SC,34.189812,-82.41245
Abbot,ME,45.221933,-69.49039
Abbotsford,WI,44.950905,-90.30486
Abbott,TX,31.884263,-97.08385
Abbottstown,PA,39.891548,-76.98359
Abbyville,KS,37.992099,-98.22479
Abell,MD,38.250996,-76.73974
Abercrombie,ND,46.448462,-96.73165
Aberdeen,ID,42.97228,-112.83218
Aberdeen,KY,37.279564,-86.670181
Aberdeen,MD,39.508177,-76.18066
Aberdeen,MS,33.833689,-88.55463
Aberdeen,NC,35.12416,-79.4415
Aberdeen,OH,38.671655,-83.75693
Aberdeen,SD,45.5294435,-98.424237
Aberdeen,WA,46.972965,-123.81923
Aberdeen Proving Ground,MD,39.473451,-76.14083
Abernant,AL,33.311014,-87.18975
Abernathy,TX,33.857895,-101.88156
Abie,NE,41.334744,-96.94965
Abilene,KS,38.94112,-97.21973
Abilene,TX,32.4142891,-99.7781336
Abingdon,IL,40.802633,-90.39766
Abingdon,MD,39.473899,-76.2983
Abingdon,VA,36.692464333333334,-81.980428
Abington,CT,41.847302,-72.02528
Abington,MA,42.119534,-70.94787
Abington,PA,40.127907,-75.12695
Abiquiu,NM,36.2996,-106.40596
Abita Springs,LA,30.482725,-90.00103
Abrams,WI,44.788898,-88.04535
Absaraka,ND,46.859694,-97.214587
Absarokee,MT,45.522248,-109.48875
Absecon,NJ,39.46439,-74.5057985
Acampo,CA,38.200193,-121.23505
Accident,MD,39.629925,-79.31377
Accokeek,MD,38.672216,-77.01807
Accomac,VA,37.713561,-75.67108
Accord,MA,41.970474,-70.701357
Accord,NY,41.811322,-74.23471
Accoville,WV,37.75979,-81.82027
Ace,TX,30.519883,-94.81869
Achille,OK,33.83464,-96.39018
Achilles,VA,37.293165,-76.41057
Ackerly,TX,32.520297,-101.73528
Ackerman,MS,33.371974,-89.17616
Ackermanville,PA,40.693376,-75.471156
Ackley,IA,42.563333,-93.04954
Ackworth,IA,41.363615,-93.41494
Acme,LA,31.252471,-91.77031
Acme,MI,44.789382,-85.488449
Acme,PA,40.138405,-79.42425
Acme,WA,48.681582,-122.1977
Acosta,PA,40.112153,-79.06772
Acra,NY,42.320081,-74.07288
Acton,CA,34.497245,-118.18951
Acton,MA,42.477142,-71.4422
Acton,ME,43.548123,-70.93189
Acton,MN,45.910946,-94.633724
Acton,MT,45.932174,-108.68933
Acushnet,MA,41.697015,-70.91019
Acworth,GA,34.0751415,-84.651565
Acworth,NH,43.242719,-72.30269
Ada,MI,43.01668975,-85.53219525
Ada,MN,47.322444,-96.51915
Ada,OH,40.774039,-83.81821
Ada,OK,34.762700333333335,-96.672892
Adah,PA,39.918848,-79.90832
Adair,IA,41.507565,-94.64805
Adair,IL,40.401282,-90.50153
Adair,OK,36.434328,-95.25512
Adairsville,GA,34.368647,-84.92452
Adairville,KY,36.681441,-86.85365
Adak,AK,51.87957,-176.63675
Adamant,VT,44.354296,-72.49053
Adams,KY,38.076051,-82.73975
Adams,MA,42.619727,-73.11842
Adams,MN,43.564175,-92.72645
Adams,ND,48.391059,-98.11173
Adams,NE,40.472055,-96.52637
Adams,NY,43.807654,-76.04936
Adams,OK,36.756145,-101.07462
Adams,OR,45.719133,-118.46578
Adams,TN,36.569635,-87.10026
Adams,WI,43.908737,-89.80722
Adams Basin,NY,43.195261,-77.855883
Adams Center,NY,43.871728,-76.00793
Adams Run,SC,32.790622,-80.38489
Adamsburg,PA,40.3044,-79.65604
Adamstown,MD,39.301647,-77.46667
Adamstown,PA,40.241588,-76.05765
Adamsville,AL,33.592585,-86.95969
Adamsville,OH,40.090643,-81.86556
Adamsville,PA,41.508647,-80.37501
Adamsville,RI,41.530131,-71.284066
Adamsville,TN,35.241412,-88.38425
Addieville,IL,38.377193,-89.55998
Addington,OK,34.243494,-97.93843
Addis,LA,30.350306,-91.26121
Addison,AL,34.223057,-87.17232
Addison,IL,41.885626,-88.045468
Addison,ME,44.556073,-67.70122
Addison,MI,41.992765,-84.3329
Addison,NY,42.104389,-77.288570000000007
Addison,PA,39.751296,-79.35113
Addison,TX,32.96129,-96.83751
Addy,WA,48.305861,-117.94318
Addyston,OH,39.137818,-84.7079
Adel,GA,31.133004,-83.42736
Adel,IA,41.612628,-94.03587
Adel,OR,42.227477,-119.88141
Adelanto,CA,34.614584,-117.45716150000001
Adell,WI,43.61014,-88.03047
Adelphi,OH,39.466041,-82.7457
Adelphia,NJ,40.302718,-74.24928
Adena,OH,40.223285,-80.87017
Adger,AL,33.451714,-87.23957
Adin,CA,41.190742,-120.90294
Adirondack,NY,43.758733,-73.76206
Adjuntas,PR,18.180103,-66.74947
Adkins,TX,29.326804,-98.21887
Admire,KS,38.614057,-96.08821
Adna,WA,46.571323,-123.298384
Adolph,MN,47.640367,-92.442797
Adolphus,KY,36.661883,-86.25964
Adona,AR,35.058503,-92.88762
Adrian,GA,32.549854,-82.56948
Adrian,IL,40.416145,-91.205805
Adrian,MI,41.900927,-84.04585
Adrian,MN,43.626278,-95.93973
Adrian,MO,38.40388,-94.34512
Adrian,OH,41.090712,-83.365404
Adrian,OR,43.661247,-117.07192
Adrian,PA,40.885328,-79.52058
Adrian,TX,35.2195,-102.71795
Adrian,WV,38.900064,-80.26795
Advance,IN,39.996577,-86.61928
Advance,MO,37.101789,-89.91359
Advance,NC,35.954679,-80.44132
Advent,WV,38.597265,-81.57934
Afton,IA,41.029408,-94.21128
Afton,MI,45.355074,-84.47898
Afton,MN,44.903133,-92.81904
Afton,NY,42.232991,-75.53429
Afton,OK,36.618326,-94.93424
Afton,TN,36.218863,-82.74704
Afton,TX,33.749303,-100.76393
Afton,VA,37.987812,-78.79701
Afton,WI,42.605454,-89.070448
Afton,WY,42.681301,-110.92196
Agar,SD,44.830961,-100.11167
Agate,CO,39.378712,-104.02409
Agate,ND,48.617378,-99.63453
Agawam,MA,42.07061,-72.62029
Agency,IA,40.995466,-92.30407
Agency,MO,39.627397,-94.72215
Agenda,KS,39.718857,-97.49191
Ages Brookside,KY,36.858906,-83.2528
Agness,OR,42.625928,-124.05435
Agoura Hills,CA,33.963065,-118.529681
Agra,KS,39.792611,-99.13229
Agra,OK,35.883914,-96.86735
Agua Dulce,TX,27.782267,-97.90134
Aguada,PR,18.363285,-67.18024
Aguadilla,PR,18.470922666666667,-67.13756533333333
Aguanga,CA,33.485978,-116.82004
Aguas Buenas,PR,18.2516,-66.11646350000001
Aguila,AZ,33.945183,-113.19837
Aguilar,CO,37.400041,-104.66016
Aguirre,PR,17.970112,-66.22291
Ah Gwah Ching,MN,46.862332,-94.641872
Ahmeek,MI,47.297841,-88.39491
Ahoskie,NC,36.293352,-76.98612
Ahsahka,ID,46.505902,-116.3187
Ahwahnee,CA,37.388698,-119.72439
Aibonito,PR,18.135711,-66.269344
Aiea,HI,21.389167,-157.93091
Aiken,SC,33.5842875,-81.63820866666667
Aiken,TX,34.071514,-101.30313
Ailey,GA,32.196136,-82.50985
Aimwell,LA,31.769334,-91.97998
Ainsworth,IA,41.320371,-91.54755
Ainsworth,NE,42.530382,-99.88206
Airville,PA,39.80954,-76.40849
Airway Heights,WA,47.642922,-117.59149
Aitkin,MN,46.507241,-93.66458
Ajo,AZ,32.331853,-112.78694
Akaska,SD,45.327593,-100.12424
Akeley,MN,46.977161,-94.70512
Akers,LA,30.612371,-90.405312
Akiachak,AK,60.88981,-161.42393
Akiak,AK,60.911865,-161.22577
Akin,IL,37.994296,-88.941665
Akron,AL,32.871514,-87.73326
Akron,CO,40.124199,-103.18362
Akron,IA,42.819093,-96.48967
Akron,IN,41.040643,-86.03829
Akron,MI,43.587817,-83.53468
Akron,NY,43.024559000000004,-78.50414
Akron,OH,41.08549603125,-81.52886331250001
Akron,PA,40.156472,-76.204
Akutan,AK,54.098693,-165.88176
Alabama,NY,42.998052,-78.184813
Alabaster,AL,33.232422,-86.80871
Alachua,FL,29.7963115,-82.49111500000001
Aladdin,WY,44.776684,-104.22425
Alakanuk,AK,62.683391,-164.65455
