Name,State,Change,Density
New York,New York,0.25,11084
Los Angeles,California,0.67,3365
Chicago,Illinois,-0.32,4535
Houston,Texas,0.79,1443
Phoenix,Arizona,1.88,1300
San Antonio,Texas,1.56,1332
Philadelphia,Pennsylvania,0.18,4545
San Diego,California,1.08,1747
Dallas,Texas,1.49,1590
San Jose,California,0.26,2254
Austin,Texas,1.77,1226
Jacksonville,Florida,1.46,483
Fort Worth,Texas,2.18,1046
San Francisco,California,0.99,7461
Charlotte,North Carolina,1.76,1141
Columbus,Ohio,1.13,1590
Indianapolis,Indiana,0.33,926
Seattle,Washington,2.72,3628
Denver,Colorado,1.78,1877
Washington Dc,District Of Columbia,1.51,4574
Boston,Massachusetts,1.04,5606
El Paso,Texas,0.65,1052
Nashville,Tennessee,0.93,556
Portland,Oregon,1.38,1958
Las Vegas,Nevada,1.58,1933
Oklahoma City,Oklahoma,1.17,426
Detroit,Michigan,-0.53,1833
Memphis,Tennessee,-0.27,786
Louisville,Kentucky,0.24,911
Baltimore,Maryland,-1.13,2803
Milwaukee,Wisconsin,-0.75,2319
Albuquerque,New Mexico,0.32,1169
Tucson,Arizona,0.42,879
Fresno,California,0.67,1823
Sacramento,California,1.18,2054
Atlanta,Georgia,1.91,1478
Mesa,Arizona,1.26,1427
Kansas City,Missouri,1.31,622
Miami,Florida,2.59,5412
Colorado Springs,Colorado,1.94,998
Raleigh,North Carolina,1.84,1316
Long Beach,California,-0.28,3568
Virginia Beach,Virginia,0.16,719
Omaha,Nebraska,0.38,1271
Oakland,California,0.5,2960
Minneapolis,Minnesota,0.83,3059
Tampa,Florida,2.15,1402
Arlington,Texas,1.05,1651
Tulsa,Oklahoma,-0,788
New Orleans,Louisiana,0.44,908
Wichita,Kansas,0.21,945
Bakersfield,California,1.01,1011
Cleveland,Ohio,-0.53,1877
Aurora,Colorado,0.92,944
Anaheim,California,0.49,2769
Honolulu,Hawaii,-0.07,2237
Riverside,California,1.03,1608
Santa Ana,California,0.06,4765
Lexington,Kentucky,1.12,454
Corpus Christi,Texas,0.37,731
Henderson,Nevada,2.55,1200
Stockton,California,0.8,1985
St. Paul,Minnesota,0.92,2332
Irvine,California,3.47,1809
Orlando,Florida,2.25,1115
Pittsburgh,Pennsylvania,-0.08,2110
Cincinnati,Ohio,0.05,1484
Anchorage,Alaska,-0.04,67
St. Louis,Missouri,-1.15,1854
Plano,Texas,0.95,1602
Lincoln,Nebraska,1.29,1227
Greensboro,North Carolina,0.6,883
Durham,North Carolina,1.97,997
Newark,New Jersey,0.23,4548
St. Petersburg,Florida,1.58,1739
Chula Vista,California,0.78,2145
Toledo,Ohio,-0.42,1310
Scottsdale,Arizona,2.54,575
Fort Wayne,Indiana,0.62,947
Madison,Wisconsin,1.49,1345
Lubbock,Texas,1.45,810
Laredo,Texas,0.92,990
Jersey City,New Jersey,0.11,6923
Reno,Nevada,1.77,937
Chandler,Arizona,1.41,1557
North Las Vegas,Nevada,1.78,1011
Glendale,Arizona,1.06,1666
Gilbert,Arizona,1.88,1454
Buffalo,New York,-0.57,2401
Winston Salem,North Carolina,0.68,725
Chesapeake,Virginia,1.02,283
Irving,Texas,0.93,1425
Norfolk,Virginia,-0.42,1747
Fremont,California,0.72,1196
Richmond,Virginia,1.51,1529
Boise,Idaho,1.24,1105
Hialeah,Florida,-0.28,4203
Garland,Texas,-0.55,1556
Spokane,Washington,1.29,1278
Tacoma,Washington,1.63,1753
Baton Rouge,Louisiana,-0.27,1012
Fontana,California,1.27,1981
Modesto,California,0.96,1982
San Bernardino,California,0.32,1375
Des Moines,Iowa,0.3,952
Moreno Valley,California,0.97,1610
Oxnard,California,0.63,3041
Mckinney,Texas,4.78,1216
Birmingham,Alabama,-0.18,557
Fayetteville,North Carolina,0.56,547
Port St. Lucie,Florida,2.9,677
Rochester,New York,-0.41,2218
Amarillo,Texas,0.61,779
Grand Prairie,Texas,1.66,1090
Salt Lake City,Utah,1.15,705
Yonkers,New York,0.22,4342
Frisco,Texas,4.98,1151
Grand Rapids,Michigan,0.67,1754
Huntsville,Alabama,1.07,365
Tempe,Arizona,2.32,1938
Overland Park,Kansas,1.47,1031
Little Rock,Arkansas,0.17,650
Cape Coral,Florida,2.53,729
Huntington Beach,California,-0.2,2853
Augusta,Georgia,0.14,253
Montgomery,Alabama,-0.45,475
Tallahassee,Florida,0.56,750
Akron,Ohio,-0.31,1215
Mobile,Alabama,-0.26,529
Knoxville,Tennessee,0.55,745
Brownsville,Texas,0.58,549
Shreveport,Louisiana,-1.19,670
Sioux Falls,South Dakota,1.5,928
Worcester,Massachusetts,0.01,1908
Santa Clarita,California,0.35,1082
Vancouver,Washington,1.3,1515
Rancho Cucamonga,California,0.97,1772
Elk Grove,California,1.87,1680
Fort Lauderdale,Florida,0.59,2043
Ontario,California,1.36,1415
Chattanooga,Tennessee,0.74,494
Newport News,Virginia,-0.09,1013
Salem,Oregon,1.81,1433
Providence,Rhode Island,0.12,3779
Corona,California,1.77,1754
Peoria,Arizona,2.13,394
Eugene,Oregon,1.75,1564
Santa Rosa,California,0.24,1654
Oceanside,California,0.19,1655
Pembroke Pines,Florida,1.17,2066
Garden Grove,California,0.11,3776
Fort Collins,Colorado,1.37,1199
Cary,North Carolina,1.57,1182
Springfield,Missouri,0.35,796
Alexandria,Virginia,1.61,4301
Hollywood,Florida,1.89,2327
Hayward,California,0.72,1387
Lakewood,Colorado,1.25,1460
Jackson,Mississippi,-1.08,563
Lancaster,California,-0.06,654
Salinas,California,0.34,2607
Sunnyvale,California,1.05,2798
Palmdale,California,-0.05,572
Clarksville,Tennessee,0.86,613
Murfreesboro,Tennessee,3.93,1029
Killeen,Texas,1.84,1101
Escondido,California,0.35,1594
Pomona,California,0.06,2572
Pasadena,Texas,-0.21,1346
Mcallen,Texas,1.59,1004
Thornton,Colorado,2.3,1607
Joliet,Illinois,0.31,909
Savannah,Georgia,0.45,558
Macon Bibb County,Georgia,-0.52,231
Bellevue,Washington,1.22,1714
Naperville,Illinois,0.18,1478
Paterson,New Jersey,-0.02,6741
Miramar,Florida,1.42,1927
Torrance,California,-0.31,2742
Rockford,Illinois,-0.53,867
Denton,Texas,1.87,582
Waco,Texas,1.72,625
Roseville,California,1.95,1288
Surprise,Arizona,1.8,511
Fullerton,California,0.33,2454
Charleston,South Carolina,1.38,503
Mesquite,Texas,-0.37,1159
Olathe,Kansas,1.05,896
Bridgeport,Connecticut,-0.81,3398
Orange,California,0.05,2144
Syracuse,New York,-0.48,2170
Midland,Texas,1.03,728
Round Rock,Texas,3.58,1510
Dayton,Ohio,-0.06,971
West Valley City,Utah,0.43,1513
Gainesville,Florida,1.08,848
Visalia,California,1.05,1409
Columbia,South Carolina,0.24,388
Carrollton,Texas,0.39,1439
Coral Springs,Florida,0.93,2243
